Started analysis of Exophiala_xenobiotica_1.fastq.gz
Approx 5% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 10% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 15% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 20% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 25% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 30% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 35% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 40% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 45% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 50% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 55% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 60% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 65% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 70% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 75% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 80% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 85% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 90% complete for Exophiala_xenobiotica_1.fastq.gz
Approx 95% complete for Exophiala_xenobiotica_1.fastq.gz
Analysis complete for Exophiala_xenobiotica_1.fastq.gz
Started analysis of Exophiala_xenobiotica_2.fastq.gz
Approx 5% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 10% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 15% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 20% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 25% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 30% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 35% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 40% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 45% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 50% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 55% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 60% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 65% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 70% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 75% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 80% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 85% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 90% complete for Exophiala_xenobiotica_2.fastq.gz
Approx 95% complete for Exophiala_xenobiotica_2.fastq.gz
Analysis complete for Exophiala_xenobiotica_2.fastq.gz
